store,name,price
Asda,Pukka Organic Supreme Matcha Green 20 Green Tea Sachets,4.75
Asda,Tetley Original 240 Tea Bags,4.60
Asda,PG Tips 210 Original Tea Bags 609g,5.50
Asda,Taylors of Harrogate Yorkshire Tea 80 Tea Bags,3.30
Asda,Pukka Organic Three Mint 20 Herbal Tea Sachets,4.75
Asda,Tetley Original 40 Tea Bags,1.55
Asda,"Pukka Organic Lemon, Ginger & Manuka Honey 20 Herbal Tea Sachets",4.75
Asda,Pukka Organic Night Time 20 Herbal Tea Sachets,4.75
Asda,Pukka Organic Three Ginger 20 Herbal Tea Sachet,4.75
Asda,Pukka Organic Peppermint & Licorice 20 Herbal Tea Sachets,4.75
Asda,Pukka Peace 20 Organic Herbal Tea Bags,4.75
Asda,Pukka Herbal Collection 20 Assorted Herbal Tea Sachets,4.75
Asda,Tetley Decaf 160 Tea Bags,4.60
Asda,ASDA Everyday 80 Tea Bags,1.20
Asda,Pukka Organic Vanilla Chai 20 Herbal Tea Sachets,4.75
Asda,"Pukka Chamomile, Vanilla & Manuka Honey 20 Organic Herbal Tea Bags",4.75
Asda,Taylors of Harrogate Yorkshire Tea 40 Tea Bags,1.75
Asda,Pukka Organic Turmeric Active 20 Herbal Tea Sachets,4.75
Asda,ASDA 80 Extra Strong Tea Bags,1.80
Asda,Typhoo One Cup Foil Fresh 100 Teabags,1.00
Asda,Pukka Organic Feel New 20 Herbal Tea Sachets,4.75
Asda,Pukka Three Chamomile 20 Organic Herbal Tea Bags,4.75
Asda,Pukka Organic Elderberry & Echinacea 20 Fruit Tea Sachets,4.75
Asda,Twinings The Earl Grey 80 Plant-Based Tea Bags,4.80
Asda,ASDA Everyday 240 Tea Bags,3.20
Asda,Pukka Organic Night Time Berry 20 Herbal Tea Sachets,4.75
Asda,PG Tips 40 Original Tea Bags 116g,1.80
Asda,ASDA Peppermint Tea 40 Bags,1.20
Asda,Lift Instant Lemon Flavour Tea,1.45
Asda,JUST ESSENTIALS by ASDA 40 Tea Bags,0.40
Asda,Twinings Strong English Breakfast 80 Tea Bags,4.80
Asda,Pukka Relax 20 Organic Herbal Tea Bags,4.75
Asda,ASDA 80 Decaf Tea Bags,1.35
Asda,ASDA Camomile Tea 40 Bags,1.20
Asda,ASDA Gold Tea Bags,1.39
Asda,PG Tips 80 Original Tea Bags 232g,3.00
Asda,ASDA Green Tea with Lemon 20 Tea Bags,0.75
Asda,Twinings Pure Peppermint 20 Tea Bags,2.50
Asda,Twinings Peach & Orange Tea 20 Tea Bags,2.80
Asda,ASDA Wild Berry 20 Tea Bags,0.75
Asda,ASDA Green Tea 50 Tea Bags,0.80
Asda,ASDA Mango & Strawberry 20 Tea Bags,0.75
Asda,ASDA Lemon & Ginger 20 Tea Bags,0.75
Asda,Twinings Pure Camomile 20 Tea Bags,2.50
Asda,Taylors of Harrogate Yorkshire Tea Biscuit Brew 40 Tea Bags,2.25
Asda,Twinings Lemon & Ginger 20 Tea Bags,2.50
Asda,Taylors of Harrogate Yorkshire Tea Gold 80 Tea Bags,3.90
Asda,ASDA Rich Tea Biscuits,0.65
Asda,Twinings English Breakfast 80 Plant-Based Tea Bags,4.80
Asda,ASDA Green Tea & Mint 20 Tea Bags,0.75
